Wavel.,Raw Data,Fit Data,Brilliant Violet 605 (BV605) fit,Alexa Fluor 647 fit,Alexa Fluor 750 fit,Alexa Fluor 488 fit,Brilliant Violet 605 (BV605) coeff,Alexa Fluor 647 coeff,Alexa Fluor 750 coeff,Alexa Fluor 488 coeff
531,27817.499517564265,28049.191343363706,108.8158587275246,0.0,0.0,27940.37548463618,,,,
532,26399.49645513652,27181.48002057717,106.62314508633946,0.0,0.0,27074.856875490834,,,,
533,26271.143940645103,26211.356872863482,104.97399907986645,0.0,0.0,26106.382873783616,,,,
534,24803.05555308705,25229.82943339573,102.94643033692611,0.0,0.0,25126.883003058803,,,,
535,24788.978433560915,24341.82666604904,102.69737102987413,0.0,0.0,24239.129295019167,,,,
536,23705.999530492933,23506.379233837255,102.69736707202068,0.0,0.0,23403.681866765233,,,,
537,22234.61810807504,22611.128994161154,102.03016252710094,0.0,0.0,22509.09883163405,,,,
538,22541.875663404026,21867.328601579367,101.39479149219616,0.0,0.0,21765.933810087172,,,,
539,20117.478739782156,21045.973612819744,103.1466992055963,0.0,0.0,20942.826913614146,,,,
540,20808.878594956303,20301.500065895943,104.75118974107748,0.0,0.0,20196.748876154867,,,,
541,19574.349351793717,19546.791881259156,107.75234838006386,0.0,0.0,19439.03953287909,,,,
542,18128.637971552816,18843.308032656012,110.32889464864826,0.0,0.0,18732.979138007362,,,,
543,17863.79831247038,18196.743814633388,113.39144256300516,0.0,0.0,18083.35237207038,,,,
544,17881.029813456786,17613.79760563426,116.87823625158842,0.0,0.0,17496.91936938267,,,,
545,16313.388071879615,17069.227298483107,121.5982490856346,0.0,0.0,16947.629049397474,,,,
546,15940.768629156752,16457.74584687177,127.7003883748859,0.0,0.0,16330.045458496883,,,,
547,15495.554208350331,15956.27132596484,134.7754803457781,0.0,0.0,15821.495845619063,,,,
548,16441.45185227303,15422.331090381807,143.29623765639997,0.0,0.0,15279.034852725408,,,,
549,14607.216614058758,14940.467106242257,153.25105291205148,0.0,0.0,14787.216053330205,,,,
550,12772.609664896836,14444.007985949978,164.0995351501443,0.0,0.0,14279.908450799834,,,,
551,13554.856211585016,14030.314339683906,176.3289470875059,0.0,0.0,13853.9853925964,,,,
552,13111.534931729622,13591.850354517272,190.02246153015352,0.0,0.0,13401.827892987118,,,,
553,14351.65905281204,13233.336126701626,206.03489715000848,0.0,0.0,13027.301229551618,,,,
554,12987.18756554296,12838.65467618729,224.4965989241412,0.0,0.0,12614.15807726315,,,,
555,11711.948592669823,12486.834330942836,248.52795879505297,0.0,0.0,12238.306372147783,,,,
556,11539.241529174626,12146.457994400374,277.80019490841795,0.0,0.0,11868.657799491957,,,,
557,11852.908372528967,11807.46503756678,308.04065406855324,0.0,0.0,11499.424383498228,,,,
558,11488.213217312888,11514.16049170774,342.39504413280946,0.0,0.0,11171.765447574931,,,,
559,10570.57759053614,11241.383735320795,382.42845372139664,0.0,0.0,10858.955281599397,,,,
560,11352.141456804724,10908.90483765981,427.45842818532765,0.0,0.0,10481.446409474482,,,,
561,10813.563874547906,10615.53776954319,483.18621831175165,0.0,0.0,10132.351551231439,,,,
562,11152.22344261252,10364.059524189044,550.5690472832432,0.0,0.0,9813.490476905801,,,,
563,9962.602385128865,10146.48332925917,630.4041658038574,0.0,0.0,9516.079163455313,,,,
564,10246.593838714827,9921.797657350242,723.5935711480803,0.0,0.0,9198.204086202162,,,,
565,9708.680685464826,9751.823143474157,827.7331627009892,0.0,0.0,8924.089980773168,,,,
566,9330.865379686404,9628.978530758044,953.8372424129345,0.0,0.0,8675.14128834511,,,,
567,10257.327878961712,9495.641771475408,1104.3361737301261,0.0,0.0,8391.305597745282,,,,
568,9947.325364069977,9344.078898471353,1283.8711176670943,0.0,0.0,8060.207780804258,,,,
569,9833.857207536428,9284.044533166803,1503.0053901526048,0.0,0.0,7781.039143014198,,,,
570,8576.15686304543,9352.457602935065,1758.8236368314997,0.0,0.0,7593.633966103565,,,,
571,8743.493877499553,9347.57721681854,2059.33595099433,0.0,0.0,7288.24126582421,,,,
572,9264.21522586569,9438.853359238394,2413.6553545205234,0.0,0.0,7025.198004717871,,,,
573,8852.42016096776,9573.340805824057,2831.501061544598,0.0,0.0,6741.839744279458,,,,
574,10359.029899342107,9847.694414067573,3342.0303755789073,0.0,0.0,6505.664038488667,,,,
575,10559.957740018242,10233.097220957268,3950.707894984645,0.0,0.0,6282.389325972624,,,,
576,10552.660582202208,10677.502742208195,4658.9212575279425,0.0,0.0,6018.581484680252,,,,
577,11528.04608605798,11255.91723601575,5469.373729060695,0.0,0.0,5786.543506955056,,,,
578,11630.50222897732,11974.594346721657,6392.020767495011,0.0,0.0,5582.573579226646,,,,
579,13170.96410065896,12843.074219348087,7481.540425939849,0.0,0.0,5361.533793408239,,,,
580,12822.227861344876,13897.368917972588,8734.916582596534,0.0,0.0,5162.452335376053,,,,
581,15426.942248817671,15089.729329699003,10153.409368529778,0.0,0.0,4936.319961169224,,,,
582,16436.008778344403,16476.2684168107,11776.14837890422,0.0,0.0,4700.120037906479,,,,
583,18437.59245386449,18033.885051112902,13557.389149246399,0.0,0.0,4476.495901866502,,,,
584,19880.927780794904,19824.235182656907,15491.594523846785,0.0,0.0,4332.640658810122,,,,
585,21130.46054814601,21658.031077191357,17528.30515626014,0.0,0.0,4129.725920931216,,,,
